factor,IC_mean,IC_std,ICIR,absICIR,coverage
mom_5d_adj_csz,0.010073047264303822,0.31153352108355337,0.03233375088904872,0.03233375088904872,0.9477351916376306
mom_10d_adj_csz,0.01311166329710601,0.31393802169945806,0.0417651332136449,0.0417651332136449,0.9303135888501742
mom_20d_adj_csz,0.039533294794461986,0.31738979842351145,0.12455754718905754,0.12455754718905754,0.8954703832752613
mom_60d_adj_csz,-0.042609476356726725,0.2736575225620192,-0.15570365454532722,0.15570365454532722,0.7735191637630662
vol_5d_adj_csz,-0.04278489352244513,0.3020710811985295,-0.14163849565700637,0.14163849565700637,0.9477351916376306
vol_20d_adj_csz,-0.004329470495140975,0.3087047890147979,-0.014024630161903449,0.014024630161903449,0.8954703832752613
vol_60d_adj_csz,-0.05004386337547506,0.3142446722934333,-0.15925127070649409,0.15925127070649409,0.7735191637630662
rsi_14_csz,0.0657393565616219,0.3043507119391284,0.21599869487004877,0.21599869487004877,0.9163763066202091
atr_14_pct_csz,-0.02856874907701928,0.25167247181258096,-0.11351558981108695,0.11351558981108695,0.9442508710801394
amihud_20d_csz,-0.01298707386307502,0.2613777530538912,-0.04968699023285783,0.04968699023285783,0.8954703832752613
volz_20_csz,-0.058498290615475144,0.26735991762351374,-0.21879977797513483,0.21879977797513483,0.8989547038327527
obv_20d_chg_csz,0.0044791240858941105,0.23105888330208194,0.01938520615127439,0.01938520615127439,0.8954703832752613
ret_vol_corr_20d_csz,-0.01613823217723342,0.2951750637925622,-0.05467342657567699,0.05467342657567699,0.8954703832752613
mf_to_amount_csz,0.00011722436341863552,0.26816276110316545,0.00043713885901382817,0.00043713885901382817,0.8954703832752613
mf_5d_strength_csz,0.005423996982927162,0.2561589249782697,0.0211743431675757,0.0211743431675757,0.8815331010452961
mf_20d_strength_csz,0.030713594644681232,0.28797562865671705,0.10665345115469317,0.10665345115469317,0.8292682926829268
big_net_to_amount_csz,0.010040738498085464,0.22375084110815893,0.04487464023981868,0.04487464023981868,0.8954703832752613
big_5d_strength_csz,0.009218774936356354,0.22914493059671903,0.04023119740135483,0.04023119740135483,0.8815331010452961
big_20d_strength_csz,-0.016253312645232793,0.2512880500442029,-0.06468000624133838,0.06468000624133838,0.8292682926829268
bp_csz,0.050641799868158206,0.3393670766418307,0.14922425701773587,0.14922425701773587,0.8954703832752613
ep_csz,0.02310840023305018,0.3906287401598686,0.05915693818020877,0.05915693818020877,0.8954703832752613
sp_csz,0.054646674910308245,0.22975367931247054,0.2378489653520954,0.2378489653520954,0.8954703832752613
hl_skew_1d_csz,-0.009355617791936159,0.2944827107463628,-0.03176966745594151,0.03176966745594151,0.9651567944250871
hl_skew_20d_mean_csz,0.006181340194358904,0.2828954251569644,0.02185026566240578,0.02185026566240578,0.8989547038327527
vp_trend_20d_csz,0.007319243585876781,0.3302492528443557,0.022162786207199362,0.022162786207199362,0.8292682926829268
reversal_spread_20d_5d_csz,0.05520693621101776,0.3186219894808338,0.17326781588732323,0.17326781588732323,0.8954703832752613
